Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.980527,-1.99645,4081.48,0.00118609,1022.13,0.999088,0.0287725,0.00202072,1021.96,0.00124877,0.998906,0,31.9708,31.5511,604,0.0102091,0.99818,-0.996265,1300.77
1.0014,-1.99699,4083.72,0.00670522,1022.43,0.99923,0.0249259,0.00169252,1022.31,0.00102608,0.999117,0,31.9754,31.9483,603,0.00256425,0.99846,-0.996824,1343.44
1.02399,-1.99755,4085.98,0.00890053,1022.72,0.999376,0.0210623,0.00136574,1022.62,0.000807168,0.999294,0,31.98,32.0801,601,-0.00926809,0.998758,-0.997419,1389.66
1.04873,-1.99799,4087.79,0.00513602,1022.95,0.999487,0.0182546,0.00117188,1022.83,0.000723814,0.999373,0,31.9836,32.1746,600,0.00670798,0.998971,-0.997845,1440.27
1.07587,-1.99828,4088.98,0.010957,1023.11,0.999563,0.0164065,0.00101361,1023.09,0.000543747,0.999523,0,31.986,32.3398,598,0.000700538,0.999125,-0.998153,1495.8
1.10547,-1.99869,4090.63,0.00810539,1023.32,0.999666,0.0133356,0.000797181,1023.3,0.000395413,0.999654,0,31.9893,32.3144,598,0.0027704,0.999344,-0.998589,1556.38
1.13833,-1.99903,4092.04,0.00859684,1023.5,0.999754,0.0102848,0.000593124,1023.54,0.000197922,0.999802,0,31.9921,32.4934,596,-0.0200751,0.999518,-0.998936,1623.64
1.17555,-1.99923,4092.84,0.00523648,1023.6,0.999805,0.00879305,0.000488849,1023.5,0.000345474,0.999704,0,31.9937,32.5283,596,-0.002678,0.999608,-0.999118,1699.84
1.2175,-1.99949,4093.91,0.00672164,1023.74,0.999871,0.0062138,0.000330922,1023.76,9.88533e-05,0.999901,0,31.9959,32.3888,595,0.0138358,0.999736,-0.999374,1785.72
1.26625,-1.99964,4094.54,0.00813099,1023.81,0.999909,0.00459981,0.000237899,1023.86,4.95638e-05,0.99995,0,31.9971,32.5427,595,0.00674397,0.999821,-0.999543,1885.54
1.32362,-1.99976,4095.03,0.00889626,1023.88,0.999941,0.00331611,0.000158342,1023.84,9.88924e-05,0.999901,0,31.9981,32.5776,594,-0.00515708,0.999885,-0.999671,2003
